"asi" "treatment"
"1" 3092 "4in"
"2" 4095 "4in"
"3" 3100 "4in"
"4" 3265 "4in"
"5" 3168 "4in"
"6" 3498 "4in"
"7" 3097 "4in"
"8" 4021 "6in"
"9" 3472 "6in"
"10" 3610 "6in"
"11" 4045 "6in"
"12" 3310 "6in"
"13" 3489 "6in"
"14" 3817 "6in"
"15" 3924 "8in"
"16" 3662 "8in"
"17" 3510 "8in"
"18" 3571 "8in"
"19" 4099 "8in"
"20" 3842 "8in"
"21" 3820 "8in"
"22" 3467 "10in"
"23" 4529 "10in"
"24" 4614 "10in"
"25" 4331 "10in"
"26" 4106 "10in"
"27" 3842 "10in"
"28" 3626 "10in"
"29" 4074 "12in"
"30" 4418 "12in"
"31" 4199 "12in"
"32" 4107 "12in"
"33" 4734 "12in"
"34" 4412 "12in"
"35" 4658 "12in"
